"start","end","text","speaker"
"25100","30120"," In the name of God, peace and blessings be upon the Messenger of God, peace and blessings be upon you, everyone.","Host"
"30480","39500"," Today we will be continuing the debates from earlier with Brother Jake Brancatella and Daniel Haqqa Ghajju.","Host"
"40060","44420"," This debate will consist of two sections.","Host"
"44980","51360"," First, covering the topic of the Ash'ari and Maturidi creeds, whether or not they are deviant.","Host"
"51360","60360"," And secondly, who is the true or real Athari, Ibn Taymiyyah or Daniel Haqqa Ghajju.","Host"
"61080","66980"," So, inshallah, these will be fruitful and informative, enlightening discussions.","Host"
"67920","72240"," And whoever would like to go first, we can start the 15-minute opening segment.","Host"
"72800","74380"," Alright, over to you, brother.","Host"
"75160","79180"," In the name of God, the Most Gracious, the Most Merciful.","Jake Brancatella"
"79320","80760"," Praise be to God, the Lord of the worlds.","Jake Brancatella"
"81400","83160"," And peace and blessings be upon the Messenger of God.","Jake Brancatella"
"83760","85100"," And after that, peace and blessings be upon you.","Jake Brancatella"
"87560","93640"," Okay, so this is the start of the second overall debate with two sections.","Jake Brancatella"
"93940","99680"," This one is going to be on the Ash'ari and Maturidi creeds and answering whether or not they're deviant.","Jake Brancatella"
"99680","104740"," I'm saying definitively that they are, and I'm assuming that Daniel will be defending that they're not.","Jake Brancatella"
"105680","108460"," And I'll explain why this is important as we go along.","Jake Brancatella"
"108900","114060"," So the first quote that I want to take a look at is from Fakhr al-Din al-Razi.","Jake Brancatella"
"114460","123400"," And I'm going to be going through examples of the Ash'aris explaining their own beliefs for themselves and contrast it with the beliefs of Ahl al-Sunnah.","Jake Brancatella"
"124020","139580"," So he says, regarding knowledge and how we should interpret scripture, he says, know that if definitive rational proofs establish something, and we then find scriptural evidence that appears to contradict it, the situation can only be one of four possibilities.","Jake Brancatella"
"140140","147280"," Either both rational and scriptural evidence is accepted, which entails believing in two contradictories, and this is impossible.","Jake Brancatella"
"147900","154200"," Or both are rejected, which also entails rejecting two contradictories, and this is impossible.","Jake Brancatella"
